"订单日期","地区","产品","产品类别","客户类型","销售额","成本","折扣","数量"
"2024-03-24","华南","轻氧防晒外套","服饰箱包","新客户","254.15","128.57","0.15","1"
"2024-03-11","华中","极光机械键盘","数码家电","老客户","1222.65","746.46","0.05","3"
"2024-03-13","华东","城市通勤双肩包","服饰箱包","老客户","1023.15","516.96","0.05","3"
"2024-03-10","华南","暖阳香薰机","家居生活","企业客户","1074.6","561.18","0.1","6"
"2024-03-24","西南","暖阳香薰机","家居生活","企业客户","1393","654.71","0","7"
"2024-03-23","华南","每日坚果礼盒","食品饮料","企业客户","763.2","591.48","0.2","6"
"2024-03-20","华北","星云降噪耳机","数码家电","企业客户","3495","1957.2","0","5"
"2024-03-11","华南","轻氧防晒外套","服饰箱包","新客户","1270.75","642.85","0.15","5"
"2024-03-02","华南","山野挂耳咖啡","食品饮料","企业客户","756.5","347.1","0.15","10"
"2024-03-03","华中","云感记忆枕","家居生活","新客户","645.3","322.65","0.1","3"
"2024-03-17","华北","每日坚果礼盒","食品饮料","企业客户","1057.35","690.06","0.05","7"
"2024-03-04","华北","复古帆布鞋","服饰箱包","老客户","1076","659.05","0.2","5"
"2024-03-02","华东","低糖燕麦脆","食品饮料","企业客户","721.05","333.96","0.05","11"
"2024-03-27","西南","复古帆布鞋","服饰箱包","新客户","1277.75","659.05","0.05","5"
"2024-03-01","华北","轻羽智能手表","数码家电","企业客户","5394","3290.34","0","6"
"2024-03-14","西南","原木收纳架","家居生活","企业客户","1776.6","1026.48","0.1","6"
"2024-03-03","华中","低糖燕麦脆","食品饮料","老客户","293.25","151.8","0.15","5"
"2024-03-27","华北","轻羽智能手表","数码家电","新客户","2697","1645.17","0","3"
"2024-03-07","华东","极光机械键盘","数码家电","新客户","1716","995.28","0","4"
"2024-03-16","华北","原木收纳架","家居生活","企业客户","2368.8","1539.72","0.2","9"
"2024-03-14","华南","复古帆布鞋","服饰箱包","老客户","538","263.62","0","2"
"2024-03-18","华北","云感记忆枕","家居生活","企业客户","1434","645.3","0","6"
"2024-04-04","西南","山野挂耳咖啡","食品饮料","老客户","445","173.55","0","5"
"2024-04-20","华中","轻氧防晒外套","服饰箱包","新客户","538.2","257.14","0.1","2"
"2024-04-22","西南","云感记忆枕","家居生活","企业客户","1290.6","645.3","0.1","6"
"2024-04-06","华中","复古帆布鞋","服饰箱包","新客户","457.3","263.62","0.15","2"
"2024-04-03","华北","每日坚果礼盒","食品饮料","新客户","508.8","394.32","0.2","4"
"2024-04-08","华中","山野挂耳咖啡","食品饮料","新客户","213.6","104.13","0.2","3"
"2024-04-06","华南","低糖燕麦脆","食品饮料","企业客户","372.6","182.16","0.1","6"
"2024-04-28","华南","轻羽智能手表","数码家电","新客户","1798","1096.78","0","2"
"2024-04-08","华东","星云降噪耳机","数码家电","新客户","2097","1174.32","0","3"
"2024-04-03","西南","城市通勤双肩包","服饰箱包","企业客户","2872","1378.56","0","8"
"2024-04-25","西南","云感记忆枕","家居生活","老客户","609.45","322.65","0.15","3"
"2024-04-03","华中","城市通勤双肩包","服饰箱包","新客户","1615.5","861.6","0.1","5"
"2024-04-16","华中","城市通勤双肩包","服饰箱包","企业客户","1938.6","1033.92","0.1","6"
"2024-04-04","华中","云感记忆枕","家居生活","企业客户","1218.9","645.3","0.15","6"
"2024-04-17","华南","复古帆布鞋","服饰箱包","企业客户","2057.85","1186.29","0.15","9"
"2024-04-26","华中","暖阳香薰机","家居生活","老客户","756.2","374.12","0.05","4"
"2024-04-03","华中","山野挂耳咖啡","食品饮料","新客户","267","104.13","0","3"
"2024-04-01","华中","每日坚果礼盒","食品饮料","企业客户","954","591.48","0","6"
"2024-04-27","华中","低糖燕麦脆","食品饮料","企业客户","552","242.88","0","8"
"2024-04-02","西南","云感记忆枕","家居生活","企业客户","1673","752.85","0","7"
"2024-04-08","华东","复古帆布鞋","服饰箱包","老客户","1452.6","790.86","0.1","6"
"2024-04-07","西南","低糖燕麦脆","食品饮料","老客户","138","60.72","0","2"
"2024-04-08","华北","城市通勤双肩包","服饰箱包","企业客户","2261.7","1206.24","0.1","7"
"2024-04-28","华中","星云降噪耳机","数码家电","企业客户","3145.5","1957.2","0.1","5"
"2024-04-11","西南","原木收纳架","家居生活","企业客户","1974","1026.48","0","6"
"2024-04-10","西南","原木收纳架","家居生活","老客户","1250.2","684.32","0.05","4"
"2024-04-26","华东","复古帆布鞋","服饰箱包","企业客户","2152","1318.1","0.2","10"
"2024-04-28","西南","极光机械键盘","数码家电","新客户","1029.6","746.46","0.2","3"
"2024-04-23","华北","城市通勤双肩包","服饰箱包","老客户","1077","516.96","0","3"
"2024-04-12","华东","每日坚果礼盒","食品饮料","老客户","636","492.9","0.2","5"
"2024-04-12","华东","轻氧防晒外套","服饰箱包","老客户","956.8","514.28","0.2","4"
"2024-04-25","华中","轻羽智能手表","数码家电","企业客户","5753.6","4387.12","0.2","8"
"2024-04-19","华南","山野挂耳咖啡","食品饮料","企业客户","507.3","208.26","0.05","6"
"2024-04-15","华中","城市通勤双肩包","服饰箱包","新客户","1795","861.6","0","5"
"2024-04-21","华北","极光机械键盘","数码家电","企业客户","3088.8","2239.38","0.2","9"
"2024-04-07","华东","每日坚果礼盒","食品饮料","新客户","795","492.9","0","5"
"2024-05-10","华南","极光机械键盘","数码家电","老客户","1372.8","995.28","0.2","4"
"2024-05-04","华南","复古帆布鞋","服饰箱包","老客户","1533.3","790.86","0.05","6"
"2024-05-21","华北","山野挂耳咖啡","食品饮料","企业客户","498.4","242.97","0.2","7"
"2024-05-09","西南","城市通勤双肩包","服饰箱包","老客户","915.45","516.96","0.15","3"
"2024-05-28","华南","城市通勤双肩包","服饰箱包","新客户","682.1","344.64","0.05","2"
"2024-05-25","华中","原木收纳架","家居生活","新客户","1250.2","684.32","0.05","4"
"2024-05-08","华东","极光机械键盘","数码家电","老客户","2702.7","1741.74","0.1","7"
"2024-05-02","华南","低糖燕麦脆","食品饮料","新客户","310.5","151.8","0.1","5"
"2024-05-11","华南","极光机械键盘","数码家电","新客户","2316.6","1492.92","0.1","6"
"2024-05-24","华北","山野挂耳咖啡","食品饮料","企业客户","453.9","208.26","0.15","6"
"2024-05-01","华东","极光机械键盘","数码家电","企业客户","4719","2737.02","0","11"
"2024-05-13","华中","轻羽智能手表","数码家电","新客户","2427.3","1645.17","0.1","3"
"2024-05-15","华东","暖阳香薰机","家居生活","企业客户","1512.4","748.24","0.05","8"
"2024-05-21","华中","每日坚果礼盒","食品饮料","企业客户","1208.4","788.64","0.05","8"
"2024-05-21","华东","轻氧防晒外套","服饰箱包","企业客户","2691","1157.13","0","9"
"2024-05-17","华东","云感记忆枕","家居生活","新客户","956","430.2","0","4"
"2024-05-14","华东","星云降噪耳机","数码家电","企业客户","3914.4","2740.08","0.2","7"
"2024-05-05","华南","极光机械键盘","数码家电","企业客户","2059.2","1492.92","0.2","6"
"2024-05-27","华南","极光机械键盘","数码家电","老客户","858","497.64","0","2"
"2024-05-01","华北","复古帆布鞋","服饰箱包","新客户","511.1","263.62","0.05","2"
"2024-05-10","华中","每日坚果礼盒","食品饮料","企业客户","1017.6","788.64","0.2","8"
"2024-05-21","华北","原木收纳架","家居生活","企业客户","2516.85","1539.72","0.15","9"
"2024-05-15","华中","星云降噪耳机","数码家电","新客户","2796","1565.76","0","4"
"2024-05-03","华中","轻羽智能手表","数码家电","企业客户","5394","3290.34","0","6"
"2024-05-26","华南","山野挂耳咖啡","食品饮料","企业客户","640.8","312.39","0.2","9"
"2024-05-26","西南","云感记忆枕","家居生活","企业客户","1529.6","860.4","0.2","8"
"2024-05-16","华中","复古帆布鞋","服饰箱包","企业客户","2421","1186.29","0","9"
"2024-05-12","华北","原木收纳架","家居生活","新客户","1974","1026.48","0","6"
"2024-05-28","华南","轻羽智能手表","数码家电","老客户","764.15","548.39","0.15","1"
"2024-05-24","华东","山野挂耳咖啡","食品饮料","企业客户","907.8","416.52","0.15","12"
"2024-05-25","华东","云感记忆枕","家居生活","企业客户","2234.65","1183.05","0.15","11"
"2024-05-07","华东","原木收纳架","家居生活","老客户","789.6","513.24","0.2","3"
"2024-05-07","华中","星云降噪耳机","数码家电","老客户","2796","1957.2","0.2","5"
"2024-05-14","西南","云感记忆枕","家居生活","老客户","956","430.2","0","4"
"2024-05-04","华中","低糖燕麦脆","食品饮料","企业客户","414","182.16","0","6"
"2024-05-28","华中","云感记忆枕","家居生活","新客户","1195","537.75","0","5"
"2024-06-09","西南","轻氧防晒外套","服饰箱包","企业客户","2421.9","1157.13","0.1","9"
"2024-06-18","华东","城市通勤双肩包","服饰箱包","老客户","2387.35","1206.24","0.05","7"
"2024-06-16","华东","山野挂耳咖啡","食品饮料","企业客户","907.8","416.52","0.15","12"
"2024-06-02","西南","低糖燕麦脆","食品饮料","企业客户","621","273.24","0","9"
"2024-06-04","华中","轻氧防晒外套","服饰箱包","企业客户","2272.4","1028.56","0.05","8"
"2024-06-28","华中","轻氧防晒外套","服饰箱包","新客户","568.1","257.14","0.05","2"
"2024-06-25","华中","原木收纳架","家居生活","老客户","838.95","513.24","0.15","3"
"2024-06-06","华北","暖阳香薰机","家居生活","企业客户","1273.6","748.24","0.2","8"
"2024-06-01","华中","山野挂耳咖啡","食品饮料","新客户","267","104.13","0","3"
"2024-06-13","华中","原木收纳架","家居生活","老客户","987","513.24","0","3"
"2024-06-14","华南","暖阳香薰机","家居生活","新客户","1323.35","654.71","0.05","7"
"2024-06-14","华中","轻羽智能手表","数码家电","老客户","4495","2741.95","0","5"
"2024-06-02","华东","极光机械键盘","数码家电","企业客户","3003","1741.74","0","7"
"2024-06-10","西南","星云降噪耳机","数码家电","老客户","2097","1174.32","0","3"
"2024-06-13","西南","轻羽智能手表","数码家电","企业客户","7192","4387.12","0","8"
"2024-06-25","华南","暖阳香薰机","家居生活","企业客户","1791","935.3","0.1","10"
"2024-06-13","华北","极光机械键盘","数码家电","企业客户","3281.85","2239.38","0.15","9"
"2024-06-19","华南","原木收纳架","家居生活","新客户","1250.2","684.32","0.05","4"
"2024-06-17","华北","原木收纳架","家居生活","企业客户","2961","1539.72","0","9"
"2024-06-07","西南","轻氧防晒外套","服饰箱包","企业客户","1614.6","771.42","0.1","6"
"2024-06-26","华北","星云降噪耳机","数码家电","老客户","4194","2348.64","0","6"
"2024-06-16","华南","复古帆布鞋","服饰箱包","老客户","1143.25","659.05","0.15","5"
"2024-06-23","华南","轻羽智能手表","数码家电","新客户","5124.3","3290.34","0.05","6"
"2024-06-05","华东","轻氧防晒外套","服饰箱包","新客户","852.15","385.71","0.05","3"
"2024-06-07","西南","城市通勤双肩包","服饰箱包","企业客户","1830.9","1033.92","0.15","6"
"2024-06-21","西南","低糖燕麦脆","食品饮料","企业客户","483","212.52","0","7"
"2024-06-09","华中","轻羽智能手表","数码家电","企业客户","5978.35","3838.73","0.05","7"
"2024-06-02","华中","每日坚果礼盒","食品饮料","老客户","477","295.74","0","3"
"2024-06-20","西南","城市通勤双肩包","服饰箱包","企业客户","2441.2","1378.56","0.15","8"
"2024-06-26","华北","星云降噪耳机","数码家电","老客户","3495","1957.2","0","5"
"2024-06-25","华中","复古帆布鞋","服饰箱包","新客户","914.6","527.24","0.15","4"
"2024-06-01","华东","每日坚果礼盒","食品饮料","企业客户","2067","1281.54","0","13"
"2024-06-26","华中","城市通勤双肩包","服饰箱包","企业客户","2746.35","1550.88","0.15","9"
"2024-06-15","华南","复古帆布鞋","服饰箱包","新客户","726.3","395.43","0.1","3"
"2024-06-11","华北","暖阳香薰机","家居生活","新客户","636.8","374.12","0.2","4"
"2024-06-03","华北","城市通勤双肩包","服饰箱包","新客户","1436","689.28","0","4"
"2024-07-09","华南","每日坚果礼盒","食品饮料","新客户","715.5","492.9","0.1","5"
"2024-07-04","西南","城市通勤双肩包","服饰箱包","老客户","646.2","344.64","0.1","2"
"2024-07-04","华中","暖阳香薰机","家居生活","新客户","895.5","467.65","0.1","5"
"2024-07-08","华南","复古帆布鞋","服饰箱包","老客户","228.65","131.81","0.15","1"
"2024-07-24","华北","低糖燕麦脆","食品饮料","企业客户","524.4","242.88","0.05","8"
"2024-07-11","华中","原木收纳架","家居生活","老客户","987","513.24","0","3"
"2024-07-13","西南","云感记忆枕","家居生活","老客户","454.1","215.1","0.05","2"
"2024-07-24","华南","原木收纳架","家居生活","企业客户","1677.9","1026.48","0.15","6"
"2024-07-01","华中","原木收纳架","家居生活","新客户","1052.8","684.32","0.2","4"
"2024-07-14","华东","每日坚果礼盒","食品饮料","新客户","477","295.74","0","3"
"2024-07-10","华东","复古帆布鞋","服饰箱包","老客户","430.4","263.62","0.2","2"
"2024-07-19","华北","低糖燕麦脆","食品饮料","企业客户","586.5","303.6","0.15","10"
"2024-07-16","华中","星云降噪耳机","数码家电","企业客户","5592","3131.52","0","8"
"2024-07-11","华北","复古帆布鞋","服饰箱包","新客户","538","263.62","0","2"
"2024-07-26","华东","暖阳香薰机","家居生活","新客户","358.2","187.06","0.1","2"
"2024-07-14","华东","星云降噪耳机","数码家电","企业客户","4648.35","2740.08","0.05","7"
"2024-07-12","西南","暖阳香薰机","家居生活","新客户","507.45","280.59","0.15","3"
"2024-07-05","西南","复古帆布鞋","服饰箱包","企业客户","2044.4","1054.48","0.05","8"
"2024-07-10","华中","复古帆布鞋","服饰箱包","企业客户","1143.25","659.05","0.15","5"
"2024-07-09","华南","星云降噪耳机","数码家电","老客户","2970.75","1957.2","0.15","5"
"2024-07-22","西南","原木收纳架","家居生活","老客户","559.3","342.16","0.15","2"
"2024-07-15","华南","城市通勤双肩包","服饰箱包","老客户","1436","689.28","0","4"
"2024-07-13","华东","轻羽智能手表","数码家电","企业客户","7192","5483.9","0.2","10"
"2024-07-01","华中","星云降噪耳机","数码家电","新客户","1887.3","1174.32","0.1","3"
"2024-07-27","华南","复古帆布鞋","服饰箱包","新客户","1345","659.05","0","5"
"2024-07-09","华南","山野挂耳咖啡","食品饮料","老客户","267","104.13","0","3"
"2024-07-18","华南","原木收纳架","家居生活","新客户","1184.4","684.32","0.1","4"
"2024-07-19","华南","复古帆布鞋","服饰箱包","老客户","766.65","395.43","0.05","3"
"2024-07-23","华中","山野挂耳咖啡","食品饮料","老客户","160.2","69.42","0.1","2"
"2024-07-26","华南","山野挂耳咖啡","食品饮料","企业客户","783.2","381.81","0.2","11"
"2024-07-21","华南","暖阳香薰机","家居生活","新客户","796","374.12","0","4"
"2024-07-12","华北","轻氧防晒外套","服饰箱包","企业客户","1435.2","771.42","0.2","6"
"2024-07-18","西南","城市通勤双肩包","服饰箱包","老客户","359","172.32","0","1"
"2024-07-06","华南","复古帆布鞋","服饰箱包","老客户","511.1","263.62","0.05","2"
"2024-07-01","华南","轻氧防晒外套","服饰箱包","企业客户","1794","771.42","0","6"
"2024-07-24","华中","复古帆布鞋","服饰箱包","新客户","1022.2","527.24","0.05","4"
"2024-08-15","华东","轻羽智能手表","数码家电","新客户","6293","3838.73","0","7"
"2024-08-26","西南","星云降噪耳机","数码家电","新客户","629.1","391.44","0.1","1"
"2024-08-06","华南","轻羽智能手表","数码家电","新客户","4495","2741.95","0","5"
"2024-08-28","华南","星云降噪耳机","数码家电","新客户","1398","782.88","0","2"
"2024-08-19","华中","暖阳香薰机","家居生活","企业客户","1512.4","748.24","0.05","8"
"2024-08-17","华南","低糖燕麦脆","食品饮料","新客户","138","60.72","0","2"
"2024-08-13","华中","暖阳香薰机","家居生活","老客户","358.2","187.06","0.1","2"
"2024-08-22","华中","暖阳香薰机","家居生活","老客户","159.2","93.53","0.2","1"
"2024-08-22","华南","山野挂耳咖啡","食品饮料","企业客户","591.85","242.97","0.05","7"
"2024-08-10","华中","每日坚果礼盒","食品饮料","老客户","453.15","295.74","0.05","3"
"2024-08-18","华北","轻羽智能手表","数码家电","新客户","1618.2","1096.78","0.1","2"
"2024-08-08","西南","星云降噪耳机","数码家电","新客户","629.1","391.44","0.1","1"
"2024-08-09","华北","城市通勤双肩包","服饰箱包","新客户","861.6","516.96","0.2","3"
"2024-08-21","华南","每日坚果礼盒","食品饮料","新客户","636","394.32","0","4"
"2024-08-15","华中","极光机械键盘","数码家电","老客户","1287","746.46","0","3"
"2024-08-07","华北","轻羽智能手表","数码家电","企业客户","5034.4","3838.73","0.2","7"
"2024-08-07","华中","复古帆布鞋","服饰箱包","新客户","1210.5","659.05","0.1","5"
"2024-08-21","西南","暖阳香薰机","家居生活","老客户","597","280.59","0","3"
"2024-08-27","西南","极光机械键盘","数码家电","新客户","815.1","497.64","0.05","2"
"2024-08-13","华南","低糖燕麦脆","食品饮料","新客户","117.3","60.72","0.15","2"
"2024-08-12","华南","山野挂耳咖啡","食品饮料","新客户","422.75","173.55","0.05","5"
"2024-08-19","华北","暖阳香薰机","家居生活","企业客户","995","467.65","0","5"
"2024-08-10","华东","复古帆布鞋","服饰箱包","老客户","1883","922.67","0","7"
"2024-08-11","华北","暖阳香薰机","家居生活","新客户","537.3","280.59","0.1","3"
"2024-08-05","华北","星云降噪耳机","数码家电","新客户","2097","1174.32","0","3"
"2024-08-11","华中","低糖燕麦脆","食品饮料","企业客户","621","303.6","0.1","10"
"2024-08-24","西南","轻羽智能手表","数码家电","老客户","2697","1645.17","0","3"
"2024-08-16","华北","山野挂耳咖啡","食品饮料","新客户","80.1","34.71","0.1","1"
"2024-08-03","华北","低糖燕麦脆","食品饮料","老客户","248.4","121.44","0.1","4"
"2024-08-10","华中","原木收纳架","家居生活","老客户","1562.75","855.4","0.05","5"
"2024-08-03","华中","云感记忆枕","家居生活","新客户","478","215.1","0","2"
"2024-08-16","华南","轻氧防晒外套","服饰箱包","新客户","239.2","128.57","0.2","1"
"2024-08-23","华北","星云降噪耳机","数码家电","新客户","4194","2348.64","0","6"
"2024-08-21","华南","低糖燕麦脆","食品饮料","企业客户","621","303.6","0.1","10"
"2024-08-13","华南","轻氧防晒外套","服饰箱包","新客户","897","385.71","0","3"
"2024-08-13","华北","极光机械键盘","数码家电","企业客户","4290","2488.2","0","10"
"2024-09-16","华中","原木收纳架","家居生活","老客户","1316","684.32","0","4"
"2024-09-24","华东","星云降噪耳机","数码家电","老客户","2516.4","1565.76","0.1","4"
"2024-09-23","华中","低糖燕麦脆","食品饮料","新客户","393.3","182.16","0.05","6"
"2024-09-22","华中","轻羽智能手表","数码家电","企业客户","9889","6032.29","0","11"
"2024-09-10","西南","轻氧防晒外套","服饰箱包","老客户","538.2","257.14","0.1","2"
"2024-09-09","华南","轻氧防晒外套","服饰箱包","新客户","598","257.14","0","2"
"2024-09-02","华北","山野挂耳咖啡","食品饮料","新客户","356","138.84","0","4"
"2024-09-06","华中","山野挂耳咖啡","食品饮料","企业客户","498.4","242.97","0.2","7"
"2024-09-20","华中","星云降噪耳机","数码家电","老客户","3495","1957.2","0","5"
"2024-09-17","华东","云感记忆枕","家居生活","企业客户","2270.5","1075.5","0.05","10"
"2024-09-27","华东","暖阳香薰机","家居生活","老客户","636.8","374.12","0.2","4"
"2024-09-19","华南","轻氧防晒外套","服饰箱包","老客户","1704.3","771.42","0.05","6"
"2024-09-17","华中","轻氧防晒外套","服饰箱包","老客户","299","128.57","0","1"
"2024-09-05","西南","山野挂耳咖啡","食品饮料","企业客户","756.5","347.1","0.15","10"
"2024-09-21","华北","低糖燕麦脆","食品饮料","企业客户","483","212.52","0","7"
"2024-09-05","华中","星云降噪耳机","数码家电","老客户","699","391.44","0","1"
"2024-09-20","华北","原木收纳架","家居生活","新客户","987","513.24","0","3"
"2024-09-12","西南","原木收纳架","家居生活","新客户","1316","684.32","0","4"
"2024-09-05","西南","暖阳香薰机","家居生活","老客户","756.2","374.12","0.05","4"
"2024-09-25","华北","极光机械键盘","数码家电","新客户","2445.3","1492.92","0.05","6"
"2024-09-12","华东","原木收纳架","家居生活","企业客户","2895.2","1881.88","0.2","11"
"2024-09-24","华南","轻氧防晒外套","服饰箱包","老客户","1270.75","642.85","0.15","5"
"2024-09-06","西南","复古帆布鞋","服饰箱包","老客户","538","263.62","0","2"
